post_id,registrationNumber,body,count_comments,count_likes
5c2ded63a4791700013bfeb1,00025,bonjour tout le monde,12,21
5c2df272a4791700013bfeb9,00011,bonjour tout le monde,1,13
5c2e1227a4791700013bfec1,00033,bonjour tout le monde,8,21
5c2e1509a4791700013bfec4,00066,bonjour tout le monde,9,25
5c2e2ba9a4791700013bfece,00118,bonjour tout le monde,4,22
5c2e38e5a4791700013bfed2,00037,bonjour tout le monde,16,36
5c2e3a08a4791700013bfed3,00115,bonjour tout le monde,0,13
5c2e3cada4791700013bfed8,00037,bonjour tout le monde,22,44
5c2f5a10b58b660001571a3a,00086,bonjour tout le monde,4,18
5c2f7d9db58b660001571a8f,00085,bonjour tout le monde,3,36
5c3338c3b58b660001571afe,00002,bonjour tout le monde,7,34
5c33545ab58b660001571b0f,00118,bonjour tout le monde,13,31
5c335afb82d1ac0001020781,00070,bonjour tout le monde,15,37
5c336d2f82d1ac0001020793,00115,bonjour tout le monde,12,33
5c33995482d1ac000102079c,00003,bonjour tout le monde,11,38
5c35c2d082d1ac00010207cb,00085,bonjour tout le monde,12,30
5c35c43482d1ac00010207cc,00014,bonjour tout le monde,12,38
5c3609ae82d1ac00010207e3,00057,bonjour tout le monde,4,25
5c370e6882d1ac00010207f8,00011,bonjour tout le monde,5,22
5c371a7b82d1ac00010207fb,00064,bonjour tout le monde,15,31
5c3749a882d1ac0001020809,00114,bonjour tout le monde,6,17
5c374e9282d1ac0001020819,00086,bonjour tout le monde,1,9
5c37550982d1ac000102081c,00010,bonjour tout le monde,2,23
5c3767b082d1ac0001020820,00118,bonjour tout le monde,14,33
5c376c1d82d1ac0001020827,00058,bonjour tout le monde,5,19
5c3b73a682d1ac000102085a,00139,bonjour tout le monde,7,32
5c3cbadb82d1ac000102085b,nan,bonjour tout le monde,0,0
5c3cbadb82d1ac000102085c,nan,bonjour tout le monde,0,0
5c3cbb6b82d1ac000102085e,nan,bonjour tout le monde,0,1
5c3cbb6b82d1ac000102085f,nan,bonjour tout le monde,0,0
5c3cbb6b82d1ac0001020860,nan,bonjour tout le monde,0,1
5c3cbb6b82d1ac0001020861,nan,bonjour tout le monde,0,0
5c3cbb6b82d1ac0001020862,nan,bonjour tout le monde,0,0
5c3cbb6b82d1ac0001020863,nan,bonjour tout le monde,0,0
5c3cbb6b82d1ac0001020864,00009,bonjour tout le monde,2,27
5c3db1cb82d1ac000102086b,00086,bonjour tout le monde,0,6
5c3dc91682d1ac000102086e,00095,bonjour tout le monde,5,15
5c3de4da82d1ac0001020870,00011,bonjour tout le monde,5,17
5c3df03f82d1ac0001020874,00089,bonjour tout le monde,10,24
5c3e01b582d1ac000102087c,00039,bonjour tout le monde,0,17
5c3e0dcd82d1ac0001020884,00125,bonjour tout le monde,8,23
5c3eea4c82d1ac0001020891,00011,bonjour tout le monde,0,0
